Word,Val,Val_z
loyalty,7.18,1.66
luau,6.05,0.77
lube,5.1,0.03
lubricant,5.32,0.2
lucid,5.35,0.22
luck,6.73,1.31
lucky,7.32,1.77
lucrative,6.81,1.37
ludicrous,3.95,-0.87
lug,4.58,-0.38
luggage,5.19,0.1
lukewarm,4.5,-0.44
lull,4.05,-0.8
lullaby,7.57,1.97
lumbar,4.47,-0.47
lumber,5.65,0.46
lumberjack,5.79,0.57
luminous,6.29,0.96
lump,3.07,-1.56
lumpy,3.75,-1.03
lunacy,4.58,-0.38
lunar,6.15,0.85
lunatic,3.47,-1.25
lunch,6.64,1.24
lunchbox,6.64,1.24
luncheon,7.19,1.67
lunchtime,7.26,1.72
lung,4.84,-0.18
lunge,4.27,-0.62
lurch,3.9,-0.91
lure,4.65,-0.32
lurk,3.48,-1.24
luscious,6.91,1.45
lush,6.48,1.11
lust,6.26,0.94
lustful,5.53,0.37
lusty,5.8,0.58
luxurious,7.58,1.97
luxury,7.25,1.71
lycra,4.5,-0.44
lye,4.26,-0.63
lymphoma,2.6,-1.93
lynching,1.67,-2.66
lyric,6.53,1.15
lyrical,6.84,1.39
lyrics,6.42,1.06
macadamia,6.33,0.99
macarena,6.52,1.14
macaroni,7.75,2.11
mace,4.14,-0.72
mach,5.35,0.22
machete,4.13,-0.73
machine,5.0,-0.05
machinery,4.65,-0.32
macho,4.84,-0.18
mackerel,4.78,-0.22
macro,5.2,0.11
mad,2.47,-2.03
madam,5.17,0.08
madden,4.75,-0.25
mademoiselle,6.35,1.01
madhouse,3.11,-1.53
madman,3.45,-1.27
madness,2.86,-1.73
maestro,6.14,0.84
mafia,3.11,-1.53
magazine,6.24,0.92
magenta,5.95,0.7
maggot,2.0,-2.4
magic,7.17,1.65
magical,8.23,2.48
magician,5.68,0.48
magistrate,4.71,-0.28
magna,5.09,0.02
magnesium,4.95,-0.09
magnet,5.65,0.46
magnetic,6.17,0.87
magnetism,6.0,0.73
magnification,6.65,1.24
magnificence,7.47,1.89
magnificent,6.95,1.48
magnify,4.86,-0.16
magnifying,6.11,0.82
magnitude,5.1,0.03
magnolia,6.8,1.36
magpie,5.5,0.34
mahi mahi,5.52,0.36
mahjong,5.55,0.38
mahogany,6.48,1.11
maid,5.38,0.25
maiden,5.65,0.46
mail,6.28,0.95
mailbox,6.05,0.77
mailing,5.33,0.21
mailman,5.32,0.2
maim,3.14,-1.51
main,5.27,0.16
mainframe,5.0,-0.05
mainland,5.3,0.19
mainstream,4.55,-0.4
maintain,6.29,0.96
maintenance,5.95,0.7
majestic,7.14,1.63
majesty,6.86,1.41
major,5.52,0.36
majority,4.95,-0.09
make,6.09,0.8
makeover,5.76,0.55
maker,5.74,0.53
makeshift,5.32,0.2
makeup,5.21,0.11
malady,3.86,-0.94
malaria,2.34,-2.14
malarkey,4.45,-0.48
male,6.91,1.45
malfunction,2.68,-1.87
malice,2.81,-1.77
malicious,2.32,-2.15
malignant,3.1,-1.54
mall,4.45,-0.48
mallet,4.7,-0.29
malnutrition,2.48,-2.03
malpractice,2.74,-1.82
malt,6.14,0.84
mama,7.64,2.02
mambo,5.52,0.36
mammal,5.95,0.7
mammoth,5.84,0.61
mammy,5.1,0.03
man,5.42,0.28
manage,4.71,-0.28
manageable,5.33,0.21
management,4.95,-0.09
manager,4.82,-0.19
managerial,4.5,-0.44
mandarin,6.15,0.85
mandate,3.76,-1.02
mandatory,3.9,-0.91
mandible,4.32,-0.58
mandolin,5.7,0.5
mane,5.32,0.2
maneuver,4.63,-0.34
manger,5.5,0.34
mangle,2.9,-1.7
mango,6.57,1.18
mangy,4.3,-0.6
manhole,4.8,-0.21
manhood,6.5,1.13
manhunt,3.61,-1.14
mania,3.62,-1.13
maniac,3.5,-1.23
maniacal,3.3,-1.38
manic,4.19,-0.69
manicure,6.15,0.85
manicurist,5.57,0.4
manifest,4.81,-0.2
manifestation,4.38,-0.54
manifesto,4.05,-0.8
manifold,4.8,-0.21
manipulate,3.21,-1.45
manipulation,2.84,-1.74
manipulative,2.9,-1.7
mankind,6.59,1.2
manly,6.09,0.8
manned,5.14,0.06
mannequin,5.35,0.22
manner,5.86,0.62
manor,5.9,0.66
manpower,6.0,0.73
mansion,6.62,1.22
mansions,6.21,0.9
manslaughter,2.05,-2.36
mantel,4.74,-0.25
mantis,4.95,-0.09
mantle,5.35,0.22
mantra,5.47,0.32
manual,4.95,-0.09
manufacture,5.0,-0.05
manufacturer,4.0,-0.83
manufacturing,5.0,-0.05
manure,3.19,-1.47
manuscript,6.05,0.77
map,5.81,0.59
maple,6.09,0.8
mar,3.47,-1.25
marathon,5.48,0.33
marble,5.8,0.58
mare,5.62,0.44
margarine,4.85,-0.17
margarita,6.33,0.99
margin,4.75,-0.25
marginal,4.6,-0.36
mariachi,5.95,0.7
marijuana,3.63,-1.12
marinara,5.95,0.7
marine,5.95,0.7
mariner,5.58,0.4
marital,5.24,0.14
maritime,4.9,-0.13
marker,5.8,0.58
market,6.21,0.9
marketing,4.83,-0.18
marketplace,6.25,0.93
marksman,5.05,-0.01
marksmanship,5.19,0.1
marmalade,5.95,0.7
maroon,5.41,0.27
marooned,4.26,-0.63
marquee,6.0,0.73
marquis,4.77,-0.23
marriage,7.56,1.96
marrow,4.29,-0.61
marry,7.09,1.59
marshal,4.62,-0.35
marshmallow,6.84,1.39
mart,5.32,0.2
martial,5.4,0.26
martini,6.14,0.84
martyr,4.24,-0.65
marvel,5.84,0.61
marvelous,7.21,1.68
marzipan,5.4,0.26
mascara,4.79,-0.21
mascot,5.5,0.34
masculine,5.79,0.57
masculinity,5.75,0.54
mash,4.81,-0.2
mashed,4.61,-0.36
mask,4.81,-0.2
masked,5.14,0.06
masochist,3.39,-1.31
masquerade,5.53,0.37
mass,5.15,0.07
massacre,1.77,-2.58
massage,7.16,1.64
masses,4.41,-0.51
masseur,5.73,0.52
masseuse,6.61,1.21
massive,5.18,0.09
mast,4.85,-0.17
master,5.72,0.51
masterful,6.72,1.3
mastermind,5.15,0.07
masterpiece,7.14,1.63
mastery,6.55,1.17
masturbate,5.65,0.46
masturbation,5.89,0.65
mat,5.0,-0.05
matador,5.0,-0.05
match,5.61,0.43
matchbook,5.05,-0.01
matching,6.3,0.97
matchmaker,5.63,0.44
mate,7.18,1.66
material,5.71,0.51
materialism,3.52,-1.21
materialistic,3.79,-1.0
materialize,5.75,0.54
maternal,6.7,1.28
maternity,5.76,0.55
math,4.45,-0.48
mathematical,5.29,0.18
mathematician,5.24,0.14
mathematics,4.89,-0.14
matinee,6.0,0.73
mating,5.76,0.55
matrimony,7.0,1.52
matrix,5.9,0.66
matron,4.79,-0.21
matter,5.82,0.59
mattress,5.74,0.53
mature,5.95,0.7
maturity,6.53,1.15
maudlin,4.75,-0.25
mausoleum,4.5,-0.44
mauve,5.1,0.03
maverick,6.63,1.23
maxim,5.74,0.53
maximize,6.2,0.89
maximum,4.7,-0.29
may,5.55,0.38
mayday,4.42,-0.51
mayflower,5.29,0.18
mayhem,3.59,-1.16
mayonnaise,5.65,0.46
mayor,4.59,-0.37
maze,5.84,0.61
meadow,7.3,1.75
meager,3.35,-1.34
meal,7.05,1.56
mean,2.43,-2.07
meanie,3.17,-1.49
meaning,6.45,1.09
meaningful,6.79,1.35
meaningless,2.95,-1.66
meanness,3.09,-1.55
meantime,4.44,-0.49
measles,2.57,-1.96
measure,5.14,0.06
measurement,5.11,0.04
measuring cup,5.75,0.54
measuring tape,5.43,0.29
meat,6.62,1.22
meatball,6.68,1.27
meathead,3.38,-1.32
meatloaf,5.16,0.08
mechanic,5.45,0.3
mechanical,5.67,0.48
mechanics,6.0,0.73
mechanism,4.9,-0.13
med,5.0,-0.05
medal,5.2,0.11
medallion,5.85,0.62
meddle,3.86,-0.94
medial,4.65,-0.32
median,4.5,-0.44
mediation,5.5,0.34
medic,5.2,0.11
medical,5.22,0.12
medicate,4.15,-0.72
medication,3.65,-1.11
medicinal,5.45,0.3
medicine,5.9,0.66
medieval,5.6,0.42
mediocre,4.43,-0.5
mediocrity,3.71,-1.06
meditate,6.47,1.1
meditation,7.21,1.68
medium,4.85,-0.17
medley,6.6,1.2
meek,4.92,-0.11
meet,6.09,0.8
meeting,4.55,-0.4
mega,5.6,0.42
melancholy,3.74,-1.04
mellow,6.68,1.27
melodrama,4.25,-0.64
melodramatic,4.21,-0.67
melody,6.65,1.24
melon,6.32,0.99
melt,5.95,0.7
meltdown,3.05,-1.58
member,5.95,0.7
membership,5.61,0.43
membrane,4.95,-0.09
memento,6.8,1.36
memo,4.7,-0.29
memorabilia,6.55,1.17
memorable,6.54,1.16
memorandum,4.5,-0.44
memorial,5.72,0.51
memories,7.0,1.52
memorize,5.7,0.5
memory,6.58,1.19
menace,3.13,-1.52
menacing,3.14,-1.51
mend,6.53,1.15
menial,3.8,-0.99
meningitis,2.55,-1.97
menopause,1.89,-2.49
menstrual,2.79,-1.78
mental,4.58,-0.38
mentality,4.76,-0.24
menthol,4.9,-0.13
mention,5.39,0.26
mentor,7.05,1.56
menu,6.3,0.97
meow,6.14,0.84
mercenary,3.89,-0.92
merchandise,5.21,0.11
merchant,5.21,0.11
merciful,7.0,1.52
merciless,3.05,-1.58
mercury,5.67,0.48
mercy,6.4,1.05
mere,4.68,-0.3
merengue,6.47,1.1
merge,4.95,-0.09
merger,4.09,-0.76
meringue,6.57,1.18
merit,6.94,1.47
mermaid,7.05,1.56
merry,7.2,1.68
mescaline,5.0,-0.05
mesh,5.25,0.15
mess,3.5,-1.23
message,6.18,0.88
messenger,5.65,0.46
messiah,6.67,1.26
messy,3.0,-1.62
metabolic,5.11,0.04
metabolism,5.4,0.26
metal,5.05,-0.01
metallic,5.26,0.15
metamorphosis,5.25,0.15
metaphor,6.11,0.82
metaphysical,5.48,0.33
meteor,5.1,0.03
meteorite,7.25,1.71
meter,5.53,0.37
meth,2.55,-1.97
methadone,3.05,-1.58
methane,3.48,-1.24
method,5.2,0.11
methodical,5.11,0.04
methodology,4.84,-0.18
meticulous,5.14,0.06
metric,4.95,-0.09
metropolis,4.95,-0.09
metropolitan,5.84,0.61
mew,6.05,0.77
mezzanine,5.32,0.2
micro,5.5,0.34
microchip,5.6,0.42
microfilm,5.53,0.37
microphone,5.11,0.04
microscope,6.33,0.99
microscopic,5.24,0.14
microwave,5.25,0.15
mid,5.21,0.11
midair,5.0,-0.05
midday,5.37,0.24
middle,5.22,0.12
middleman,4.24,-0.65
middleweight,4.1,-0.76
midget,4.58,-0.38
midlife,4.71,-0.28
midline,4.79,-0.21
midnight,6.18,0.88
midshipman,4.75,-0.25
midst,5.25,0.15
midsummer,6.24,0.92
midterm,4.14,-0.72
midtown,5.83,0.6
midwife,5.65,0.46
mighty,6.45,1.09
mignon,5.57,0.4
migraine,2.68,-1.87
migrate,4.57,-0.39
migration,4.52,-0.43
mil,4.85,-0.17
mild,5.9,0.66
mildew,2.61,-1.92
mile,4.78,-0.22
mileage,5.9,0.66
milestone,6.85,1.4
militant,3.95,-0.87
military,4.9,-0.13
militia,4.21,-0.67
milk,6.74,1.31
milkman,5.75,0.54
milkshake,7.26,1.72
milky,5.0,-0.05
mill,5.39,0.26
millennium,4.85,-0.17
milligram,5.28,0.17
millimeter,4.86,-0.16
million,7.55,1.95
millionaire,7.32,1.77
millionth,5.42,0.28
millstone,4.86,-0.16
mime,4.58,-0.38
mimic,4.67,-0.31
mince,5.23,0.13
mincemeat,4.05,-0.8
mind,6.7,1.28
mindful,6.7,1.28
mindless,3.0,-1.62
minefield,3.65,-1.11
miner,4.81,-0.2
mineral,6.05,0.77
mingle,5.21,0.11
mini,5.86,0.62
miniature,6.11,0.82
minibus,4.89,-0.14
minimal,4.62,-0.35
minimize,5.16,0.08
minimum,4.8,-0.21
mining,4.5,-0.44
minion,5.33,0.21
minister,5.0,-0.05
ministry,5.08,0.01
minivan,4.4,-0.52
mink,5.86,0.62
minor,4.81,-0.2
minority,4.75,-0.25
mint,6.55,1.17
minty,7.0,1.52
minute,5.5,0.34
minx,6.63,1.23
miracle,7.3,1.75
miraculous,6.37,1.02
mirage,4.47,-0.47
mire,4.2,-0.68
mirror,5.9,0.66
misbehave,3.79,-1.0
miscalculation,3.21,-1.45
miscarriage,2.48,-2.03
miscellaneous,5.38,0.25
mischief,4.78,-0.22
mischievous,4.48,-0.46
misconception,3.65,-1.11
misconduct,3.55,-1.19
misdemeanor,2.76,-1.81
misdirection,3.7,-1.07
miser,3.45,-1.27
miserable,2.6,-1.93
misery,2.2,-2.25
misfire,2.63,-1.91
misfit,4.19,-0.69
misfortune,2.4,-2.09
misguided,3.58,-1.16
mishap,3.5,-1.23
mislead,3.2,-1.46
misleading,3.14,-1.51
misplace,3.15,-1.5
misread,3.59,-1.16
miss,4.1,-0.76
missile,2.85,-1.74
mission,6.39,1.04
missionary,5.33,0.21
missy,5.4,0.26
mist,6.47,1.1
mistake,2.89,-1.71
mister,5.56,0.39
mistletoe,7.1,1.6
mistress,3.86,-0.94
mistrial,4.15,-0.72
mistrust,2.0,-2.4
misty,5.14,0.06
misunderstand,4.05,-0.8
misunderstanding,2.86,-1.73
misuse,3.25,-1.42
mite,3.9,-0.91
miter,4.53,-0.42
mitigate,5.38,0.25
mitigating,4.47,-0.47
mitt,5.48,0.33
mitten,5.6,0.42
mitzvah,4.47,-0.47
mix,5.71,0.51
mixer,4.9,-0.13
mixture,5.9,0.66
mnemonic,5.1,0.03
moan,4.05,-0.8
moat,5.19,0.1
mob,3.7,-1.07
mobile,5.81,0.59
mobility,5.53,0.37
mobilize,5.95,0.7
mobster,3.05,-1.58
mocha,6.53,1.15
mock,3.81,-0.98
mockery,2.95,-1.66
mockingbird,6.37,1.02
mod,5.57,0.4
mode,5.25,0.15
model,6.38,1.03
modeling,5.67,0.48
modem,5.29,0.18
moderate,5.52,0.36
moderation,5.3,0.19
modern,6.05,0.77
modest,6.42,1.06
modesty,6.19,0.88
modicum,4.95,-0.09
modification,5.05,-0.01
modify,5.1,0.03
module,4.9,-0.13
mogul,5.42,0.28
moist,5.53,0.37
moisture,5.5,0.34
moisturizer,6.35,1.01
molar,4.73,-0.26
molasses,5.9,0.66
mold,2.71,-1.85
moldy,1.95,-2.44
mole,4.23,-0.65
molecular,5.5,0.34
molecule,5.37,0.24
molest,1.89,-2.49
molester,1.48,-2.81
molten,4.75,-0.25
mom,7.64,2.02
moment,6.1,0.81
momentary,4.95,-0.09
momentous,6.35,1.01
momentum,6.1,0.81
momma,7.45,1.87
mommy,7.39,1.82
monarch,4.33,-0.58
monarchy,3.29,-1.39
monastery,4.75,-0.25
monetary,6.32,0.99
money,7.1,1.6
mongoloid,4.23,-0.65
mongoose,4.95,-0.09
mongrel,3.47,-1.25
monitor,5.05,-0.01
monk,4.9,-0.13
monkey,5.82,0.59
mono,3.85,-0.95
monogamous,7.05,1.56
monogamy,6.43,1.07
monogrammed,4.79,-0.21
monolith,5.24,0.14
monologue,5.43,0.29
monopoly,5.29,0.18
monotonous,3.05,-1.58
monoxide,3.0,-1.62
monsieur,5.5,0.34
monsoon,2.85,-1.74
monster,2.55,-1.97
monstrosity,3.84,-0.96
monstrous,3.43,-1.28
montage,5.48,0.33
month,5.78,0.56
monthly,5.32,0.2
monument,6.24,0.92
monumental,5.74,0.53
moo,5.48,0.33
mooch,3.71,-1.06
mood,5.29,0.18
moody,3.71,-1.06
moon,7.0,1.52
moonbeam,7.17,1.65
moonlight,7.05,1.56
moonlit,7.24,1.71
moonshine,5.5,0.34
moonwalk,6.18,0.88
moor,4.95,-0.09
moose,6.71,1.29
moot,4.62,-0.35
mop,4.53,-0.42
mope,3.27,-1.41
moped,5.0,-0.05
moral,6.85,1.4
morale,5.95,0.7
morality,6.48,1.11
moray,4.74,-0.25
morbid,2.73,-1.83
mores,5.17,0.08
morgue,1.79,-2.57
morn,3.62,-1.13
morning,6.41,1.06
moron,4.3,-0.6
moronic,3.25,-1.42
morph,5.5,0.34
morphine,4.58,-0.38
morsel,5.3,0.19
mortal,4.39,-0.53
mortality,5.15,0.07
mortar,4.14,-0.72
mortgage,3.45,-1.27
mortician,3.56,-1.18
mortuary,2.21,-2.24
mosaic,6.33,0.99
mosey,5.85,0.62
mosque,4.11,-0.75
mosquito,3.12,-1.52
motel,5.3,0.19
moth,4.47,-0.47
mother,7.53,1.93
motherfucker,1.61,-2.71
motherfucking,3.95,-0.87
motherhood,6.8,1.36
motherland,5.8,0.58
motherless,1.9,-2.48
motherly,7.67,2.04
motif,5.27,0.16
motion,5.8,0.58
motivate,6.05,0.77
motivation,6.24,0.92
motivational,6.76,1.33
motive,5.32,0.2
motley,4.89,-0.14
motor,5.64,0.45
motorbike,5.95,0.7
motorboat,6.2,0.89
motorcade,4.64,-0.33
motorcar,5.7,0.5
motorcycle,5.8,0.58
motorist,5.47,0.32
motto,5.95,0.7
mould,3.57,-1.17
mound,5.43,0.29
mount,5.38,0.25
mountain,6.65,1.24
Mountain Dew,5.47,0.32
mountaintop,6.5,1.13
mourn,2.4,-2.09
mournful,3.32,-1.37
mourning,1.71,-2.63
mouse,4.8,-0.21
mousetrap,4.82,-0.19
mousse,6.0,0.73
moustache,5.35,0.22
mousy,3.74,-1.04
mouth,5.59,0.41
mouthful,4.88,-0.14
mouthpiece,4.65,-0.32
mouthwash,5.7,0.5
move,4.95,-0.09
movement,6.58,1.19
mover,4.55,-0.4
movie,7.24,1.71
mow,4.94,-0.1
mower,4.76,-0.24
moxie,6.1,0.81
mozzarella,7.19,1.67
muck,3.14,-1.51
mucous,2.95,-1.66
mucus,2.84,-1.74
mud,5.06,-0.0
muddle,4.47,-0.47
muddy,4.14,-0.72
muff,5.63,0.44
muffin,7.1,1.6
muffled,4.74,-0.25
muffler,3.63,-1.12
mug,4.16,-0.71
mugger,1.9,-2.48
mulberry,5.74,0.53
mulch,5.33,0.21
mule,4.26,-0.63
mull,4.38,-0.54
mullet,3.86,-0.94
multimedia,6.53,1.15
multinational,5.3,0.19
multiple,5.0,-0.05
multiple sclerosis,2.45,-2.05
multiplex,5.09,0.02
multiply,5.43,0.29
multitude,5.0,-0.05
mum,5.43,0.29
mumble,4.4,-0.52
mumbo,4.76,-0.24
mummy,4.81,-0.2
mumps,2.61,-1.92
munch,6.32,0.99
munchkin,6.95,1.48
mundane,3.63,-1.12
municipal,4.89,-0.14
mural,6.67,1.26
murder,1.48,-2.81
murderer,1.92,-2.47
murderess,2.56,-1.96
murderous,2.05,-2.36
murky,3.4,-1.31
murmur,4.57,-0.39
muscle,6.15,0.85
muscular,6.32,0.99
muse,6.3,0.97
museum,6.67,1.26
mush,4.05,-0.8
mushroom,5.61,0.43
mushy,4.6,-0.36
music,7.67,2.04
musical,7.68,2.05
musician,6.79,1.35
musk,4.5,-0.44
musket,4.13,-0.73
musketeer,4.76,-0.24
muskrat,4.15,-0.72
must,5.45,0.3
mustang,6.32,0.99
mustard,4.74,-0.25
muster,4.67,-0.31
musty,3.37,-1.33
mutant,5.06,-0.0
mutate,4.16,-0.71
mutation,4.14,-0.72
mute,3.95,-0.87
muted,3.63,-1.12
mutilate,2.0,-2.4
mutilated,2.73,-1.83
mutilation,2.27,-2.19
mutiny,4.2,-0.68
mutt,4.84,-0.18
mutter,4.4,-0.52
mutual,6.48,1.11
muzzle,3.95,-0.87
myriad,5.52,0.36
mysterious,6.05,0.77
mystery,5.29,0.18
mystic,6.12,0.83
mystical,6.57,1.18
mysticism,6.0,0.73
mystified,6.05,0.77
mystique,6.52,1.14
myth,6.11,0.82
mythical,6.11,0.82
mythology,6.1,0.81
nab,3.65,-1.11
nacho,7.05,1.56
nada,4.57,-0.39
nag,2.3,-2.17
nail,4.6,-0.36
nail gun,4.09,-0.76
naive,4.22,-0.66
naked,6.21,0.9
nakedness,6.67,1.26
name,5.62,0.44
nameless,2.79,-1.78
nana,5.79,0.57
nanny,5.86,0.62
nanometer,5.15,0.07
nap,6.53,1.15
napalm,2.7,-1.85
napkin,5.63,0.44
nappy,3.1,-1.54
narcissism,3.25,-1.42
narcissist,3.11,-1.53
narcissistic,3.0,-1.62
narcotic,3.52,-1.21
narrative,6.32,0.99
narrator,6.48,1.11
narrow,4.95,-0.09
nasal,4.26,-0.63
nasty,2.95,-1.66
nation,6.0,0.73
national,5.62,0.44
nationality,5.6,0.42
nationwide,5.2,0.11
native,5.85,0.62
natural,6.42,1.06
natural gas,4.47,-0.47
nature,6.88,1.42
naughty,6.04,0.77
nausea,1.68,-2.65
nauseating,2.73,-1.83
nauseous,1.95,-2.44
nautical,6.15,0.85
nautilus,5.29,0.18
naval,5.19,0.1
nave,3.9,-0.91
navel,4.89,-0.14
navigate,5.05,-0.01
navigation,5.84,0.61
navigational,5.1,0.03
navigator,5.47,0.32
navy,5.38,0.25
nearsighted,4.5,-0.44
neat,6.95,1.48
nebula,7.0,1.52
necessary,5.39,0.26
necessity,5.32,0.2
neck,5.44,0.3
necklace,6.85,1.4
necktie,4.84,-0.18
necromancer,4.11,-0.75
nectar,6.8,1.36
need,5.45,0.3
needle,3.97,-0.86
needlepoint,5.55,0.38
needless,4.25,-0.64
needy,2.9,-1.7
nefarious,3.79,-1.0
negative,2.52,-2.0
negativity,2.74,-1.82
neglect,2.16,-2.28
negligee,6.2,0.89
negligence,2.7,-1.85
negligent,2.05,-2.36
negligible,3.81,-0.98
negotiable,6.0,0.73
negotiate,5.57,0.4
negotiation,6.05,0.77
negotiator,5.1,0.03
negro,3.83,-0.97
neighbor,5.6,0.42
neighborhood,6.09,0.8
neighboring,5.95,0.7
nemesis,2.44,-2.06
neon,6.48,1.11
nephew,6.75,1.32
nerd,5.18,0.09
nerdy,4.68,-0.3
nerve,4.45,-0.48
nervous,3.56,-1.18
nervousness,3.1,-1.54
nest,5.65,0.46
net,5.0,-0.05
nether,4.81,-0.2
network,5.05,-0.01
networking,5.6,0.42
neural,6.05,0.77
neurological,3.89,-0.92
neurologist,5.05,-0.01
neurology,4.95,-0.09
neurosis,3.15,-1.5
neurosurgeon,4.67,-0.31
neurosurgery,4.25,-0.64
neurotic,3.84,-0.96
neuter,4.11,-0.75
neutral,5.5,0.34
neutralize,5.19,0.1
neutron,6.62,1.22
new,7.68,2.05
new age,5.05,-0.01
newborn,7.48,1.9
newcomer,5.8,0.58
newfound,5.89,0.65
newlywed,6.9,1.44
news,4.96,-0.08
newscast,5.43,0.29
newscaster,4.89,-0.14
newsflash,5.26,0.15
newsletter,5.19,0.1
newsman,5.52,0.36
newspaper,5.11,0.04
newspaperman,5.63,0.44
newsreel,5.47,0.32
newsroom,4.83,-0.18
newsstand,5.79,0.57
newt,4.65,-0.32
nexus,5.57,0.4
nibble,6.3,0.97
nice,6.95,1.48
niche,5.75,0.54
nickel,5.62,0.44
nickname,6.14,0.84
nicotine,3.05,-1.58
niece,6.52,1.14
nifty,6.3,0.97
nigger,1.67,-2.66
night,6.68,1.27
nightcap,5.22,0.12
nightclub,5.32,0.2
nightfall,6.63,1.23
nightgown,5.85,0.62
nightie,7.11,1.6
nightlife,5.95,0.7
nightly,5.38,0.25
nightmare,1.79,-2.57
nightstand,5.62,0.44
nightstick,3.79,-1.0
nighttime,6.18,0.88
Nike,5.86,0.62
nimble,6.25,0.93
nimrod,4.21,-0.67
nincompoop,5.0,-0.05
nine,5.1,0.03
nineteen,5.63,0.44
ninety,4.65,-0.32
ninja,5.14,0.06
ninny,4.33,-0.58
nintendo,6.8,1.36
nip,5.25,0.15
nipper,5.43,0.29
nipple,5.73,0.52
nippy,4.79,-0.21
nitrate,5.0,-0.05
nitro,5.0,-0.05
nitrogen,4.6,-0.36
nitrous,5.1,0.03
nitwit,3.75,-1.03
nix,4.0,-0.83
nobility,5.83,0.6
noble,7.16,1.64
nobleman,6.86,1.41
nocturnal,5.29,0.18
nod,5.05,-0.01
node,4.84,-0.18
noggin,5.63,0.44
noir,5.37,0.24
noise,3.36,-1.34
noisy,3.21,-1.45
nomad,4.71,-0.28
nominal,5.1,0.03
nominate,5.86,0.62
nomination,5.63,0.44
nominee,5.5,0.34
nonchalant,4.58,-0.38
nonexistent,3.89,-0.92
nonfat,5.74,0.53
nonfiction,5.95,0.7
nonsense,4.0,-0.83
nonviolent,6.84,1.39
noodle,6.48,1.11
nook,6.33,0.99
noon,5.38,0.25
noose,2.43,-2.07
norm,5.56,0.39
normal,6.17,0.87
normalcy,4.84,-0.18
north,5.72,0.51
northbound,5.45,0.3
northeast,5.5,0.34
northern,5.65,0.46
northwest,5.81,0.59
northwestern,5.39,0.26
nose,5.5,0.34
nosebleed,3.16,-1.49
nostalgia,6.65,1.24
nostalgic,6.68,1.27
nostril,3.58,-1.16
nosy,3.1,-1.54
notable,5.95,0.7
notary,5.43,0.29
notch,5.32,0.2
note,5.78,0.56
notebook,6.05,0.77
nothingness,2.79,-1.78
notice,5.94,0.69
noticeable,5.86,0.62
notification,5.24,0.14
notify,4.9,-0.13
notion,5.86,0.62
notoriety,5.68,0.48
notorious,4.19,-0.69
noun,5.22,0.12
nourish,7.5,1.91
nourishment,7.44,1.86
nouveau,5.9,0.66
novel,5.74,0.53
novelist,6.1,0.81
novelty,5.82,0.59
novice,5.1,0.03
nuance,5.47,0.32
nuclear,4.3,-0.6
nucleus,5.59,0.41
nude,6.1,0.81
nudge,5.67,0.48
nudie,4.5,-0.44
nudist,6.0,0.73
nudity,6.48,1.11
nugget,6.29,0.96
nuisance,3.0,-1.62
nuke,3.67,-1.09
null,4.32,-0.58
numb,3.79,-1.0
number,5.59,0.41
numbskull,3.65,-1.11
numerical,5.0,-0.05
numerous,5.35,0.22
nun,5.79,0.57
nunchucks,5.7,0.5
nunnery,4.25,-0.64
nuptials,5.63,0.44
nurse,5.41,0.27
nursemaid,5.38,0.25
nursery,6.1,0.81
nursing,6.39,1.04
nurture,7.14,1.63
nut,5.44,0.3
nutcase,2.81,-1.77
nutcracker,5.45,0.3
nuthouse,3.4,-1.31
nutmeg,5.76,0.55
nutrition,6.86,1.41
nutritional,6.83,1.39
nutritious,7.09,1.59
nutshell,5.05,-0.01
nutty,5.35,0.22
nylon,4.9,-0.13
nylong,4.95,-0.09
nylons,5.52,0.36
nymph,5.42,0.28
nymphomaniac,4.95,-0.09
O'Doul's,4.5,-0.44
oaf,3.5,-1.23
oak,6.47,1.1
oar,5.15,0.07
oasis,8.0,2.3
oat,5.67,0.48
oath,6.4,1.05
oatmeal,5.47,0.32
obedience,4.63,-0.34
obedient,6.05,0.77
obese,2.32,-2.15
obesity,2.81,-1.77
obey,5.13,0.05
obituary,3.1,-1.54
object,5.52,0.36
objection,3.83,-0.97
objective,5.55,0.38
objectivity,5.63,0.44
obligation,4.68,-0.3
obligatory,3.94,-0.88
oblige,5.19,0.1
oblique,4.57,-0.39
oblivion,3.95,-0.87
oblivious,4.5,-0.44
obnoxious,2.76,-1.81
obscene,3.1,-1.54
obscenity,3.41,-1.3
obscure,5.15,0.07
obscurity,4.64,-0.33
observant,6.37,1.02
observation,5.61,0.43
observatory,5.36,0.23
observe,5.3,0.19
observer,5.0,-0.05
obsess,3.23,-1.44
obsessed,4.86,-0.16
obsession,4.38,-0.54
obsessive,3.35,-1.34
obsolete,3.53,-1.2
obstacle,4.38,-0.54
obstinate,3.81,-0.98
obstruct,3.61,-1.14
obstruction,3.75,-1.03
obtain,5.11,0.04
obvious,5.33,0.21
occasion,6.45,1.09
occasional,5.5,0.34
occipital,4.45,-0.48
occult,3.5,-1.23
occupant,5.19,0.1
occupation,4.77,-0.23
occupational,6.18,0.88
occupy,4.86,-0.16
occur,6.26,0.94
occurrence,4.94,-0.1
ocean,7.39,1.82
oceanic,7.45,1.87
octopus,6.0,0.73
ocular,4.86,-0.16
odd,4.56,-0.4
oddball,6.17,0.87
odds,5.32,0.2
ode,5.75,0.54
