Word,Val,Val_z
aviator,6.39,1.04
avid,5.74,0.53
avocado,6.32,0.99
avoid,4.1,-0.76
avoidance,3.35,-1.34
await,5.33,0.21
awake,6.76,1.33
awaken,6.05,0.77
awakening,6.41,1.06
award,7.86,2.19
aware,6.86,1.41
awareness,6.45,1.09
awe,6.85,1.4
awed,6.05,0.77
awesome,7.86,2.19
awful,2.28,-2.18
awkward,2.95,-1.66
awkwardness,3.86,-0.94
awning,5.79,0.57
axe,3.48,-1.24
axis,4.19,-0.69
axle,4.67,-0.31
babble,4.55,-0.4
babe,6.86,1.41
baboon,5.55,0.38
baby,6.67,1.26
babysit,4.74,-0.25
babysitter,6.55,1.17
Bacardi,5.68,0.48
bachelor,5.58,0.4
bachelorette,5.52,0.36
back,4.76,-0.24
backboard,4.7,-0.29
backbone,5.16,0.08
backdoor,4.86,-0.16
backdrop,5.45,0.3
backer,4.73,-0.26
backfire,3.0,-1.62
backgammon,5.6,0.42
background,5.05,-0.01
backhand,3.5,-1.23
backpack,6.05,0.77
backroom,4.6,-0.36
backseat,4.84,-0.18
backside,4.58,-0.38
backtrack,4.26,-0.63
backup,5.85,0.62
backwater,4.33,-0.58
backwoods,5.0,-0.05
backyard,6.1,0.81
bacon,7.52,1.93
bacteria,3.3,-1.38
bacterial,3.68,-1.09
bad,3.24,-1.43
badass,6.14,0.84
badge,5.24,0.14
badger,4.63,-0.34
badness,3.55,-1.19
bag,5.05,-0.01
bagel,6.32,0.99
baggage,4.5,-0.44
baggie,5.43,0.29
baggy,4.45,-0.48
bagman,4.7,-0.29
bail,3.79,-1.0
bailiff,3.95,-0.87
bait,4.0,-0.83
bake,7.2,1.68
bakery,6.79,1.35
balance,6.84,1.39
balcony,6.11,0.82
bald,2.85,-1.74
balding,3.05,-1.58
baldy,3.95,-0.87
bale,4.9,-0.13
ball,6.14,0.84
ballad,6.33,0.99
ballast,4.67,-0.31
ballerina,6.79,1.35
ballet,6.86,1.41
ballgame,7.0,1.52
ballistic,5.0,-0.05
ballistics,4.05,-0.8
balloon,6.84,1.39
ballot,5.29,0.18
ballpark,5.44,0.3
ballplayer,5.26,0.15
ballpoint,5.1,0.03
ballroom,5.75,0.54
ballsy,4.9,-0.13
balm,6.24,0.92
balmy,5.23,0.13
bam,5.05,-0.01
bamboo,6.33,0.99
ban,3.38,-1.32
banana,6.71,1.29
band,6.44,1.08
bandage,3.63,-1.12
bandanna,5.26,0.15
bandit,3.88,-0.93
bandstand,5.81,0.59
bandwagon,3.95,-0.87
bandwidth,5.32,0.2
bane,3.9,-0.91
bang,5.1,0.03
banger,4.05,-0.8
banish,3.85,-0.95
banister,5.42,0.28
banjo,6.35,1.01
bank,6.0,0.73
banker,4.89,-0.14
banking,5.47,0.32
bankroll,6.05,0.77
bankrupt,2.21,-2.24
bankruptcy,2.52,-2.0
banner,5.17,0.08
banquet,6.11,0.82
banshee,3.58,-1.16
banter,5.48,0.33
banzai,5.65,0.46
baptism,6.62,1.22
baptize,5.59,0.41
bar,5.0,-0.05
barbarian,3.14,-1.51
barbaric,3.43,-1.28
barbecue,7.1,1.6
barbed,3.75,-1.03
barber,4.89,-0.14
barbershop,5.37,0.24
barbie doll,5.23,0.13
bard,4.45,-0.48
bare,5.5,0.34
barefoot,6.91,1.45
barf,2.32,-2.15
bargain,7.63,2.01
bargaining,5.37,0.24
barge,5.44,0.3
baritone,6.05,0.77
barium,4.9,-0.13
bark,4.86,-0.16
barkeep,5.7,0.5
barley,4.95,-0.09
barmaid,4.85,-0.17
barman,5.28,0.17
barn,6.16,0.86
barnacle,5.27,0.16
barnyard,5.65,0.46
barometer,5.0,-0.05
baron,3.9,-0.91
baroness,4.75,-0.25
barracuda,4.85,-0.17
barrage,4.24,-0.65
barrel,4.92,-0.11
barren,3.79,-1.0
barricade,4.32,-0.58
barrier,4.47,-0.47
barrister,4.95,-0.09
barroom,4.9,-0.13
bartender,5.63,0.44
barter,5.64,0.45
base,5.68,0.48
baseball,5.79,0.57
baseball bat,5.75,0.54
baseline,5.4,0.26
baseman,5.19,0.1
basement,4.81,-0.2
bash,3.68,-1.09
bashful,5.55,0.38
basic,5.5,0.34
basics,5.86,0.62
basil,6.43,1.07
basin,5.47,0.32
basis,5.42,0.28
bask,6.37,1.02
basket,5.66,0.47
basketball,5.67,0.48
bass,5.23,0.13
bass guitar,6.27,0.95
bastard,3.31,-1.38
bat,4.81,-0.2
batch,5.57,0.4
bath,7.0,1.52
bathe,7.5,1.91
bathhouse,5.32,0.2
bathing,6.14,0.84
bathrobe,6.48,1.11
bathroom,5.26,0.15
bathtub,6.26,0.94
baton,4.63,-0.34
battalion,5.14,0.06
batter,5.24,0.14
battered,2.95,-1.66
battering,2.75,-1.81
battery,4.26,-0.63
battle,3.52,-1.21
battlefield,3.89,-0.92
battleground,4.09,-0.76
battlements,3.7,-1.07
battleship,4.43,-0.5
batty,4.44,-0.49
bauble,5.71,0.51
bawl,3.58,-1.16
bay,7.23,1.7
bayonet,4.68,-0.3
bayou,6.2,0.89
bazaar,6.42,1.06
bazooka,5.37,0.24
be,6.18,0.88
beach,7.21,1.68
beacon,5.18,0.09
bead,6.05,0.77
beady,4.58,-0.38
beak,4.9,-0.13
beaker,5.5,0.34
beam,5.74,0.53
bean,6.0,0.73
beanbag,5.88,0.64
beanie,5.58,0.4
bear,5.33,0.21
bearable,5.72,0.51
beard,5.09,0.02
bearded,5.67,0.48
bearer,4.95,-0.09
bearings,5.43,0.29
bearskin,4.25,-0.64
beast,4.42,-0.51
beastly,4.19,-0.69
beat,4.38,-0.54
beater,3.06,-1.57
beatnik,3.89,-0.92
beautiful,7.61,2.0
beauty,7.58,1.97
beaver,5.0,-0.05
bebop,6.26,0.94
become,6.32,0.99
bed,7.16,1.64
bedding,5.05,-0.01
bedpan,2.74,-1.82
bedroom,7.0,1.52
bedside,5.89,0.65
bedspread,6.05,0.77
bedtime,6.57,1.18
bee,3.68,-1.09
beef,6.11,0.82
beefsteak,5.53,0.37
beehive,4.26,-0.63
beep,5.11,0.04
beeper,4.9,-0.13
beer,5.67,0.48
bees,5.14,0.06
beeswax,5.15,0.07
beetle,4.2,-0.68
befall,3.91,-0.91
befriend,7.14,1.63
beg,3.72,-1.05
beggar,2.92,-1.68
